Rk,Player,Tm,2012-13
1,Kobe Bryant,LAL,$27849149
2,Dirk Nowitzki,DAL,$20907128
3,Carmelo Anthony,NYK,$20463024
4,Amare Stoudemire,NYK,$19948799
5,Joe Johnson,BRK,$19752645
6,Dwight Howard,LAL,$19536360
7,Pau Gasol,LAL,$19000000
8,Chris Paul,LAC,$17779458
9,LeBron James,MIA,$17545000
10,Chris Bosh,MIA,$17545000
11,Dwyane Wade,MIA,$17182000
12,Deron Williams,BRK,$17177795
13,Andrew Bynum,PHI,$16889000
14,Paul Pierce,BOS,$16790345
15,Kevin Durant,OKC,$16669629
16,Zach Randolph,MEM,$16500000
17,Rudy Gay,MEM,$16460538
18,Derrick Rose,CHI,$16402500
19,Al Jefferson,UTA,$15000000
20,Carlos Boozer,CHI,$15000000
21,Andre Iguodala,DEN,$14968250
22,Manu Ginobili,SAS,$14107491
23,Marc Gasol,MEM,$13891359
24,Rashard Lewis,NOH,$13699551
25,Russell Westbrook,OKC,$13668750
26,Eric Gordon,NOH,$13668750
27,Kevin Love,MIN,$13668750
28,Roy Hibbert,IND,$13668750
29,Brook Lopez,BRK,$13668750
30,Tyson Chandler,NYK,$13604188
31,LaMarcus Aldridge,POR,$13500000
32,Emeka Okafor,WAS,$13490000
33,Luol Deng,CHI,$13305000
34,Josh Smith,ATL,$13200000
35,Danny Granger,IND,$13058606
36,Nene Hilario,WAS,$13000000
37,Andrew Bogut,GSW,$13000000
38,David Lee,GSW,$12744000
39,Tony Parker,SAS,$12500000
40,Kevin Martin,OKC,$12439675
41,Ben Gordon,CHA,$12400000
42,Kris Humphries,BRK,$12000000
43,Al Horford,ATL,$12000000
44,Hedo Turkoglu,ORL,$11815850
45,Kevin Garnett,BOS,$11566265
46,Joakim Noah,CHI,$11300000
47,Monta Ellis,MIL,$11000000
48,Rajon Rondo,BOS,$11000000
49,Corey Maggette,DET,$10924138
50,Nicolas Batum,POR,$10825000
51,Jose Calderon,TOR,$10561982
52,DeAndre Jordan,LAC,$10532977
53,Richard Jefferson,GSW,$10164000
